s,sr,t,tr,sl,gd,nsl,nsld,un
20103.0,1466.0,111.20000000000104,111.2,15.277777777777777,2,22.22222222222222,20283,1
20103.003209924,1466.0,111.20000000000104,111.0,15.277777777777777,2,22.22222222222222,20283,1
20103.01550494916,1465.98,111.20000000000104,110.8,15.277777777777777,2,22.22222222222222,20283,1
20103.04132549473,1465.96,111.20000000000104,110.6,15.277777777777777,2,22.22222222222222,20283,1
20103.08362846373,1465.92,111.20000000000104,110.4,15.277777777777777,2,22.22222222222222,20283,1
20103.147048335442,1465.85,111.20000000000104,110.2,15.277777777777777,2,22.22222222222222,20283,1
20103.237336629776,1465.76,111.20000000000104,110.0,15.277777777777777,2,22.22222222222222,20283,1
20103.358321470547,1465.64,111.20000000000104,109.8,15.277777777777777,2,22.22222222222222,20283,1
20103.512548471645,1465.49,111.20000000000104,109.6,15.277777777777777,2,22.22222222222222,20283,1
20103.7017079931,1465.3,111.20000000000104,109.4,15.277777777777777,2,22.22222222222222,20283,1
20103.926919983136,1465.07,111.20000000000104,109.2,15.277777777777777,2,22.22222222222222,20283,1
20104.1889238786,1464.81,111.20000000000104,109.0,15.277777777777777,2,22.22222222222222,20283,1
20104.488205210295,1464.51,111.20000000000104,108.8,15.277777777777777,2,22.22222222222222,20283,1
20104.825080010593,1464.17,111.20000000000104,108.6,15.277777777777777,2,22.22222222222222,20283,1
20105.19975108824,1463.8,111.20000000000104,108.4,15.277777777777777,2,22.22222222222222,20283,1
20105.61234554726,1463.39,111.20000000000104,108.2,15.277777777777777,2,22.22222222222222,20283,1
20106.062939801344,1462.94,111.20000000000104,108.0,15.277777777777777,2,22.22222222222222,20283,1
20106.551576251535,1462.45,111.20000000000104,107.8,15.277777777777777,2,22.22222222222222,20283,1
20107.07827440584,1461.92,111.20000000000104,107.6,15.277777777777777,2,22.22222222222222,20283,1
20107.643038293307,1461.36,111.20000000000104,107.4,15.277777777777777,2,22.22222222222222,20283,1
20108.2458614076,1460.75,111.20000000000104,107.2,15.277777777777777,2,22.22222222222222,20283,1
20108.88673000354,1460.11,111.20000000000104,107.0,15.277777777777777,2,22.22222222222222,20283,1
20109.565625295556,1459.43,111.20000000000104,106.8,15.277777777777777,2,22.22222222222222,20283,1
20110.282524924034,1458.72,111.20000000000104,106.6,15.277777777777777,2,22.22222222222222,20283,1
20111.03740393365,1457.96,111.20000000000104,106.4,15.277777777777777,2,22.22222222222222,20283,1
20111.830235426285,1457.17,111.20000000000104,106.2,15.277777777777777,2,22.22222222222222,20283,1
20112.66099099704,1456.34,111.20000000000104,106.0,15.277777777777777,2,22.22222222222222,20283,1
20113.529641025634,1455.47,111.20000000000104,105.8,15.277777777777777,2,22.22222222222222,20283,1
20114.436154871422,1454.56,111.20000000000104,105.6,15.277777777777777,2,22.22222222222222,20283,1
20115.380501004154,1453.62,111.20000000000104,105.4,15.277777777777777,2,22.22222222222222,20283,1
20116.3626470919,1452.64,111.20000000000104,105.2,15.277777777777777,2,22.22222222222222,20283,1
20117.382560060454,1451.62,111.20000000000104,105.0,15.277777777777777,2,22.22222222222222,20283,1
20118.440206133713,1450.56,111.20000000000104,104.8,15.277777777777777,2,22.22222222222222,20283,1
20119.535550861394,1449.46,111.20000000000104,104.6,15.277777777777777,2,22.22222222222222,20283,1
20120.66855913833,1448.33,111.20000000000104,104.4,15.277777777777777,2,22.22222222222222,20283,1
20121.83919521815,1447.16,111.20000000000104,104.2,15.277777777777777,2,22.22222222222222,20283,1
